feature,importance
glofas_discharge_max,0.40172398
era5_swvl1_daily_mean_std,0.0518512
rainfall_total_3d,0.04422857
glofas_discharge_mean,0.044072997
era5_v10_daily_mean_min_std_14d,0.03228047
glofas_discharge_std,0.028507262
era5_sro_daily_total_max,0.025272889
discharge_change_1d,0.02369695
era5_u10_daily_mean_min_std_14d,0.020961389
era5_sro_daily_total_mean,0.014331357
era5_u10_daily_mean_min_mean_14d,0.013681833
era5_v10_daily_mean_min_mean_14d,0.01350019
era5_e_daily_total_max,0.012583668
era5_pev_daily_mean_max,0.012181156
rainfall_intensity,0.012000546
glofas_discharge_max_discharge_lag_1d,0.0105471555
discharge_acceleration_1d,0.010447456
era5_swvl1_daily_mean_min_soil_moisture_lag_1d,0.009367293
era5_swvl2_daily_mean_std,0.008265169
era5_sro_daily_total_std_runoff_lag_3d,0.0077244984
era5_swvl1_daily_mean_mean_soil_moisture_lag_1d,0.007207481
era5_u10_daily_mean_std,0.007177835
era5_e_daily_total_max_trend_7d,0.007177719
era5_tp_daily_total_max,0.006741058
era5_tp_daily_total_std,0.006143151
rainfall_total_14d,0.0060999896
era5_sp_daily_mean_min,0.0058772746
era5_sro_daily_total_max_runoff_lag_3d,0.0058758766
rainfall_mean_7d,0.0055219918
era5_swvl1_daily_mean_mean,0.005488242
era5_sp_daily_mean_max,0.0054068915
era5_u10_daily_mean_std_mean_7d,0.005077742
era5_swvl1_daily_mean_min,0.0050252755
era5_e_daily_total_mean,0.0041252607
era5_tp_daily_total_mean,0.0040254234
rainfall_total_7d,0.0040236856
era5_u10_daily_mean_max,0.003601646
era5_pev_daily_mean_std,0.003559418
era5_u10_daily_mean_mean,0.0029244157
era5_sro_daily_total_std,0.0027518463
era5_u10_daily_mean_std_std_14d,0.0027407487
era5_v10_daily_mean_max_std_14d,0.0026595893
era5_v10_daily_mean_mean_std_7d,0.0024709257
era5_swvl1_daily_mean_max_soil_moisture_lag_7d,0.0024434116
era5_swvl1_daily_mean_max,0.0024378598
era5_e_daily_total_min,0.0023631067
era5_u10_daily_mean_max_mean_14d,0.0023135974
era5_t2m_daily_mean_std,0.002290749
era5_v10_daily_mean_max_std_7d,0.0022232726
era5_swvl2_daily_mean_std_soil_moisture_lag_7d,0.0021994219
era5_v10_daily_mean_mean_mean_7d,0.002166561
glofas_discharge_max_discharge_lag_3d,0.0021292344
era5_v10_daily_mean_max_mean_14d,0.0021174254
era5_v10_daily_mean_max,0.002086677
era5_u10_daily_mean_std_mean_14d,0.0020368665
era5_swvl2_daily_mean_min_soil_moisture_lag_7d,0.001996339
era5_v10_daily_mean_min_std_7d,0.0019824647
era5_v10_daily_mean_mean,0.0019066714
era5_v10_daily_mean_std_std_7d,0.001896123
era5_swvl2_daily_mean_max_soil_moisture_lag_7d,0.0018530444
era5_sro_daily_total_max_runoff_lag_1d,0.0017710624
era5_u10_daily_mean_mean_std_7d,0.0017466467
rainfall_total_30d,0.0017429861
era5_v10_daily_mean_min_mean_7d,0.0017208834
era5_v10_daily_mean_std,0.0016958894
era5_e_daily_total_mean_trend_7d,0.0016258946
discharge_mean_3d,0.001609823
era5_u10_daily_mean_min_std_7d,0.001557285
rainfall_anomaly,0.0015294516
era5_swvl2_daily_mean_min_soil_moisture_lag_3d,0.0014817326
era5_swvl1_daily_mean_std_soil_moisture_lag_7d,0.0014483974
era5_v10_daily_mean_max_mean_7d,0.001410884
era5_swvl1_daily_mean_min_soil_moisture_lag_3d,0.00134404
era5_v10_daily_mean_min,0.001327439
era5_v10_daily_mean_std_std_14d,0.0012523585
era5_sp_daily_mean_max_anomaly,0.0012406076
era5_v10_daily_mean_mean_mean_14d,0.001190713
era5_sp_daily_mean_mean_anomaly,0.0010901467
era5_u10_daily_mean_std_std_7d,0.0010735966
era5_sp_daily_mean_min_anomaly,0.0010567105
era5_t2m_daily_mean_max,0.0010343239
era5_sro_daily_total_std_runoff_lag_7d,0.0010303254
era5_sro_daily_total_mean_runoff_lag_7d,0.0010249902
era5_swvl2_daily_mean_min_soil_moisture_lag_1d,0.0010146083
era5_swvl2_daily_mean_mean_soil_moisture_lag_7d,0.0009683261
discharge_mean_7d,0.0009637107
era5_u10_daily_mean_mean_mean_7d,0.0009561455
era5_u10_daily_mean_min,0.00095486594
era5_swvl1_daily_mean_std_soil_moisture_lag_3d,0.0009465813
era5_swvl2_daily_mean_min,0.00092544657
era5_pev_daily_mean_min,0.00087912637
era5_v10_daily_mean_mean_std_14d,0.0008345527
era5_u10_daily_mean_max_mean_7d,0.0008169263
era5_t2m_daily_mean_mean,0.00081625365
era5_swvl1_daily_mean_min_soil_moisture_lag_7d,0.00078452885
glofas_discharge_max_discharge_lag_14d,0.0007720769
era5_u10_daily_mean_min_mean_7d,0.0007590613
era5_swvl1_daily_mean_max_soil_moisture_lag_3d,0.00074783433
era5_u10_daily_mean_max_std_7d,0.00074755686
era5_sp_daily_mean_mean,0.00074211566
era5_sro_daily_total_std_runoff_lag_1d,0.00069305365
era5_e_daily_total_std_trend_7d,0.0006547776
era5_swvl2_daily_mean_mean,0.0006144602
era5_swvl2_daily_mean_max_soil_moisture_lag_3d,0.0005818655
era5_sp_daily_mean_std_anomaly,0.0005689265
era5_swvl2_daily_mean_std_soil_moisture_lag_3d,0.000557591
era5_pev_daily_mean_mean,0.00053551124
era5_sp_daily_mean_std,0.0005315718
era5_u10_daily_mean_max_std_14d,0.00048599255
era5_t2m_daily_mean_min,0.00048057042
era5_e_daily_total_std,0.00047391493
rainfall_mean_14d,0.00044695477
era5_v10_daily_mean_std_mean_14d,0.00042375445
era5_sro_daily_total_mean_runoff_lag_1d,0.00036085618
era5_sro_daily_total_max_runoff_lag_7d,0.00032071947
era5_u10_daily_mean_mean_std_14d,0.00024033625
cumulative_monsoon_rainfall,2.0916772e-05
era5_e_daily_total_min_trend_7d,0.0
era5_swvl1_daily_mean_mean_soil_moisture_lag_7d,0.0
era5_tp_daily_total_min,0.0
day_of_year,0.0
era5_u10_daily_mean_mean_mean_14d,0.0
month,0.0
era5_v10_daily_mean_std_mean_7d,0.0
era5_sro_daily_total_min,0.0
era5_sro_daily_total_mean_runoff_lag_3d,0.0
terrain_elevation_mean,0.0
terrain_elevation_min,0.0
terrain_elevation_max,0.0
terrain_elevation_std,0.0
terrain_slope_mean,0.0
terrain_slope_max,0.0
terrain_slope_std,0.0
era5_swvl2_daily_mean_max,0.0
era5_sro_daily_total_min_runoff_lag_3d,0.0
era5_swvl2_daily_mean_mean_soil_moisture_lag_3d,0.0
glofas_discharge_max_discharge_lag_2d,0.0
rainfall_mean_3d,0.0
era5_sro_daily_total_min_runoff_lag_7d,0.0
glofas_discharge_min,0.0
era5_sro_daily_total_min_runoff_lag_1d,0.0
discharge_mean_30d,0.0
discharge_mean_14d,0.0
era5_swvl1_daily_mean_max_soil_moisture_lag_1d,0.0
era5_swvl1_daily_mean_std_soil_moisture_lag_1d,0.0
era5_swvl2_daily_mean_mean_soil_moisture_lag_1d,0.0
rainfall_mean_30d,0.0
era5_swvl2_daily_mean_max_soil_moisture_lag_1d,0.0
era5_swvl2_daily_mean_std_soil_moisture_lag_1d,0.0
era5_swvl1_daily_mean_mean_soil_moisture_lag_3d,0.0
is_monsoon,0.0
glofas_discharge_max_discharge_lag_7d,0.0
terrain_local_relief_p95_p05,0.0
