feature,importance
is_monsoon,0.42701828
rainfall_total_14d,0.07939043
era5_sp_daily_mean_mean,0.07683701
rainfall_mean_14d,0.044630244
rainfall_total_7d,0.024046678
era5_sp_daily_mean_max,0.015056087
rainfall_total_30d,0.014010801
era5_u10_daily_mean_max_mean_14d,0.0127815325
rainfall_mean_7d,0.010995326
day_of_year,0.01094422
era5_u10_daily_mean_std_mean_14d,0.010239154
rainfall_mean_3d,0.009921227
era5_u10_daily_mean_min_mean_14d,0.008360022
era5_sp_daily_mean_min,0.0075783753
rainfall_mean_30d,0.0071464404
era5_e_daily_total_mean,0.0071326355
era5_tp_daily_total_mean,0.006668877
era5_t2m_daily_mean_min,0.006600906
era5_u10_daily_mean_mean_std_14d,0.0065492135
era5_v10_daily_mean_std_mean_14d,0.0064676516
era5_v10_daily_mean_min_mean_14d,0.006364253
era5_u10_daily_mean_std_std_7d,0.006299624
rainfall_total_3d,0.0061971787
era5_v10_daily_mean_std_std_14d,0.0061084284
era5_v10_daily_mean_mean_std_14d,0.005824953
era5_u10_daily_mean_std,0.005767956
era5_t2m_daily_mean_std,0.005727733
era5_v10_daily_mean_min_mean_7d,0.0055350973
era5_v10_daily_mean_std_std_7d,0.0055251066
era5_pev_daily_mean_max,0.005448743
cumulative_monsoon_rainfall,0.00524084
era5_u10_daily_mean_std_mean_7d,0.005209465
era5_u10_daily_mean_min_std_14d,0.005123249
era5_u10_daily_mean_min_mean_7d,0.005056332
era5_v10_daily_mean_max_std_14d,0.00490954
rainfall_anomaly,0.0046433997
era5_u10_daily_mean_mean_mean_14d,0.004487926
era5_v10_daily_mean_max_mean_14d,0.0044102655
era5_e_daily_total_min_trend_7d,0.004325341
era5_pev_daily_mean_std,0.004166295
era5_v10_daily_mean_max_mean_7d,0.004139665
era5_v10_daily_mean_min_std_14d,0.004139256
era5_u10_daily_mean_max_std_7d,0.0041104048
era5_v10_daily_mean_mean_std_7d,0.003839916
era5_v10_daily_mean_max_std_7d,0.0037647972
era5_u10_daily_mean_max_std_14d,0.0036253133
rainfall_intensity,0.003596013
era5_sp_daily_mean_std,0.003341507
era5_v10_daily_mean_min_std_7d,0.0033408469
era5_u10_daily_mean_min_std_7d,0.003291898
era5_v10_daily_mean_mean_mean_14d,0.003179104
era5_u10_daily_mean_std_std_14d,0.0030589923
era5_e_daily_total_min,0.003003196
era5_v10_daily_mean_mean_mean_7d,0.0029261853
era5_e_daily_total_max,0.0028734915
era5_u10_daily_mean_max_mean_7d,0.002851125
era5_t2m_daily_mean_max,0.0028362253
era5_u10_daily_mean_max,0.0027680304
era5_tp_daily_total_std,0.002486986
era5_v10_daily_mean_std_mean_7d,0.0023952941
era5_v10_daily_mean_min,0.0023820102
era5_tp_daily_total_max,0.0023034029
era5_sp_daily_mean_std_anomaly,0.0022679567
era5_e_daily_total_std_trend_7d,0.0022608305
era5_u10_daily_mean_mean_std_7d,0.0022490348
era5_u10_daily_mean_mean_mean_7d,0.0021706258
era5_pev_daily_mean_min,0.0021290043
era5_e_daily_total_max_trend_7d,0.002114713
era5_sp_daily_mean_mean_anomaly,0.0020948204
era5_t2m_daily_mean_mean,0.0020442198
era5_u10_daily_mean_mean,0.0020172691
era5_sp_daily_mean_max_anomaly,0.0019456061
month,0.0018752214
era5_v10_daily_mean_max,0.0017137743
era5_v10_daily_mean_mean,0.0016167556
era5_v10_daily_mean_std,0.001607111
era5_e_daily_total_mean_trend_7d,0.0013132702
era5_e_daily_total_std,0.0012356461
era5_sp_daily_mean_min_anomaly,0.00034363932
era5_pev_daily_mean_mean,0.0
era5_u10_daily_mean_min,0.0
era5_tp_daily_total_min,0.0
terrain_elevation_mean,0.0
terrain_elevation_min,0.0
terrain_elevation_max,0.0
terrain_elevation_std,0.0
terrain_slope_mean,0.0
terrain_slope_max,0.0
terrain_slope_std,0.0
terrain_local_relief_p95_p05,0.0
