feature,importance
rainfall_total_30d,0.12263128
rainfall_mean_14d,0.10892129
era5_sp_daily_mean_mean,0.082671545
rainfall_mean_30d,0.0630069
era5_sp_daily_mean_min,0.061794568
rainfall_total_14d,0.04859978
rainfall_mean_7d,0.0356308
era5_v10_daily_mean_std_mean_14d,0.026152382
era5_t2m_daily_mean_std,0.026131665
rainfall_mean_3d,0.024004309
rainfall_total_7d,0.017549263
era5_pev_daily_mean_min,0.016969146
era5_u10_daily_mean_max_mean_7d,0.016768986
era5_u10_daily_mean_max_std_14d,0.014932145
era5_v10_daily_mean_max_mean_7d,0.0128529295
era5_t2m_daily_mean_max,0.011941979
era5_t2m_daily_mean_min,0.011381786
era5_v10_daily_mean_min_mean_14d,0.0109225325
era5_u10_daily_mean_mean_mean_7d,0.010436031
day_of_year,0.010065313
cumulative_monsoon_rainfall,0.009359329
era5_v10_daily_mean_max_std_14d,0.008920925
era5_sp_daily_mean_max,0.0086970255
era5_u10_daily_mean_min_std_14d,0.008562114
era5_u10_daily_mean_mean_std_14d,0.008412878
era5_v10_daily_mean_max_mean_14d,0.008028525
era5_v10_daily_mean_min_mean_7d,0.007927935
era5_v10_daily_mean_std_mean_7d,0.00770094
era5_u10_daily_mean_min_mean_7d,0.0074886167
era5_u10_daily_mean_max_std_7d,0.0071888342
era5_sp_daily_mean_max_anomaly,0.0068859505
era5_u10_daily_mean_std,0.0067832307
era5_u10_daily_mean_std_std_14d,0.006517232
era5_u10_daily_mean_std_mean_7d,0.0064894506
era5_v10_daily_mean_std_std_14d,0.006393534
era5_tp_daily_total_max,0.006214977
rainfall_total_3d,0.006122169
era5_v10_daily_mean_mean_std_14d,0.005900621
era5_u10_daily_mean_min,0.005860782
era5_v10_daily_mean_mean_mean_7d,0.0055816583
era5_u10_daily_mean_mean,0.0055251317
era5_sp_daily_mean_std,0.0050861235
era5_u10_daily_mean_std_mean_14d,0.004781986
era5_u10_daily_mean_min_std_7d,0.0045602145
era5_v10_daily_mean_mean_mean_14d,0.0045357714
era5_u10_daily_mean_mean_mean_14d,0.0045213434
era5_u10_daily_mean_max_mean_14d,0.0043141847
era5_v10_daily_mean_min_std_7d,0.0042088805
era5_e_daily_total_mean,0.0041845073
era5_pev_daily_mean_mean,0.0041099363
era5_v10_daily_mean_min_std_14d,0.0040300405
era5_v10_daily_mean_max_std_7d,0.0039965124
era5_e_daily_total_min_trend_7d,0.003954763
era5_v10_daily_mean_min,0.003936456
era5_u10_daily_mean_max,0.003921832
era5_e_daily_total_max,0.0038803283
era5_v10_daily_mean_max,0.003630161
era5_tp_daily_total_mean,0.0035810785
era5_tp_daily_total_std,0.0034157666
era5_t2m_daily_mean_mean,0.0033347986
era5_e_daily_total_mean_trend_7d,0.0033010144
era5_u10_daily_mean_min_mean_14d,0.0029483978
era5_sp_daily_mean_std_anomaly,0.0028823866
era5_u10_daily_mean_std_std_7d,0.0027917128
era5_v10_daily_mean_std_std_7d,0.0027491953
era5_v10_daily_mean_mean_std_7d,0.0027420006
era5_u10_daily_mean_mean_std_7d,0.0027285365
month,0.002645493
era5_e_daily_total_std,0.0022417172
era5_pev_daily_mean_std,0.002222789
era5_v10_daily_mean_mean,0.0020423387
era5_e_daily_total_std_trend_7d,0.002007054
era5_pev_daily_mean_max,0.0017049192
era5_e_daily_total_max_trend_7d,0.001228256
era5_sp_daily_mean_min_anomaly,0.0011812337
era5_sp_daily_mean_mean_anomaly,0.0011538902
era5_v10_daily_mean_std,0.00086806546
rainfall_anomaly,0.00051817024
era5_e_daily_total_min,0.0001316318
era5_tp_daily_total_min,0.0
is_monsoon,0.0
rainfall_intensity,0.0
terrain_elevation_mean,0.0
terrain_elevation_min,0.0
terrain_elevation_max,0.0
terrain_elevation_std,0.0
terrain_slope_mean,0.0
terrain_slope_max,0.0
terrain_slope_std,0.0
terrain_local_relief_p95_p05,0.0
