feature,importance
is_monsoon,0.10479051
glofas_discharge_max,0.10180502
rainfall_mean_7d,0.091613784
era5_sp_daily_mean_mean,0.06522065
rainfall_total_14d,0.048913263
rainfall_total_7d,0.032235935
rainfall_total_3d,0.029616455
era5_swvl1_daily_mean_std,0.021982675
era5_sp_daily_mean_min,0.018514197
era5_swvl1_daily_mean_min,0.018206816
rainfall_mean_14d,0.016927123
era5_swvl1_daily_mean_max,0.016493496
day_of_year,0.016241055
era5_swvl1_daily_mean_std_soil_moisture_lag_1d,0.0153573975
era5_swvl1_daily_mean_max_soil_moisture_lag_1d,0.014401763
era5_swvl2_daily_mean_mean_soil_moisture_lag_7d,0.012084959
era5_sro_daily_total_std,0.010666926
era5_e_daily_total_mean,0.009701026
discharge_change_1d,0.009684588
glofas_discharge_std,0.009454527
era5_swvl2_daily_mean_std_soil_moisture_lag_1d,0.0094479555
era5_swvl2_daily_mean_std_soil_moisture_lag_7d,0.009425124
era5_v10_daily_mean_min_mean_14d,0.008746588
era5_u10_daily_mean_min_mean_7d,0.008680995
era5_sro_daily_total_mean,0.008256495
era5_swvl2_daily_mean_mean_soil_moisture_lag_3d,0.008157744
discharge_mean_30d,0.008092652
era5_sp_daily_mean_max,0.007982851
era5_swvl2_daily_mean_mean_soil_moisture_lag_1d,0.007793806
era5_sro_daily_total_max_runoff_lag_3d,0.0077801854
rainfall_total_30d,0.0074867173
era5_u10_daily_mean_std_std_14d,0.006431028
cumulative_monsoon_rainfall,0.0061402717
era5_u10_daily_mean_max_mean_7d,0.005387548
discharge_mean_3d,0.005371184
glofas_discharge_mean,0.0051809754
era5_u10_daily_mean_min_std_14d,0.0051629995
rainfall_mean_30d,0.0051570917
era5_u10_daily_mean_mean_mean_14d,0.005130375
era5_swvl2_daily_mean_mean,0.0050459225
era5_t2m_daily_mean_std,0.004841893
era5_v10_daily_mean_std_mean_7d,0.004815092
era5_v10_daily_mean_mean_std_7d,0.00460063
era5_swvl2_daily_mean_max_soil_moisture_lag_3d,0.004477013
era5_u10_daily_mean_std_mean_14d,0.004358622
era5_u10_daily_mean_min_mean_14d,0.004242751
era5_swvl1_daily_mean_min_soil_moisture_lag_7d,0.004165578
era5_pev_daily_mean_max,0.003991719
era5_v10_daily_mean_mean_mean_14d,0.0039580506
era5_sro_daily_total_mean_runoff_lag_3d,0.003927525
era5_u10_daily_mean_min,0.0039175623
era5_v10_daily_mean_mean_std_14d,0.0038205099
era5_v10_daily_mean_min_mean_7d,0.0037683498
era5_tp_daily_total_mean,0.0037545343
era5_swvl2_daily_mean_std_soil_moisture_lag_3d,0.003621456
era5_v10_daily_mean_mean,0.0035917056
era5_swvl2_daily_mean_std,0.0035856443
era5_v10_daily_mean_max_mean_14d,0.0035795276
era5_sro_daily_total_max,0.0035601254
era5_v10_daily_mean_max_std_14d,0.0034929574
era5_swvl1_daily_mean_min_soil_moisture_lag_3d,0.0033928743
era5_swvl2_daily_mean_max_soil_moisture_lag_7d,0.0033710275
era5_u10_daily_mean_mean_mean_7d,0.0032249813
era5_pev_daily_mean_std,0.0030398443
glofas_discharge_max_discharge_lag_14d,0.0030342336
era5_v10_daily_mean_std_std_14d,0.0029787312
era5_u10_daily_mean_std_std_7d,0.0029307622
era5_v10_daily_mean_max_std_7d,0.0028711532
era5_sro_daily_total_std_runoff_lag_1d,0.002866419
discharge_mean_14d,0.0027911996
era5_swvl1_daily_mean_min_soil_moisture_lag_1d,0.0026980233
era5_v10_daily_mean_std,0.0025931923
era5_v10_daily_mean_std_mean_14d,0.0024486063
era5_sp_daily_mean_std,0.002433546
era5_sro_daily_total_mean_runoff_lag_1d,0.002350688
discharge_acceleration_1d,0.0023026885
era5_swvl2_daily_mean_max_soil_moisture_lag_1d,0.0022791664
era5_tp_daily_total_max,0.0022075886
era5_pev_daily_mean_mean,0.0021734561
glofas_discharge_max_discharge_lag_7d,0.002154116
era5_v10_daily_mean_std_std_7d,0.0021529796
era5_u10_daily_mean_mean_std_14d,0.0021375543
era5_pev_daily_mean_min,0.0020981857
era5_v10_daily_mean_max,0.0019380199
