,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.9509859154929577,0.5647058823529412,0.8807339449541285,0.6881720430107527,0.9741180876020135
random_forest,0.9819718309859155,0.8468468468468469,0.8623853211009175,0.8545454545454545,0.9956000748923421
xgboost,0.9870422535211267,0.8412698412698413,0.9724770642201835,0.902127659574468,0.9983204290890669
