date,era5_tp_daily_total_mean,era5_tp_daily_total_min,era5_tp_daily_total_max,era5_tp_daily_total_std,era5_sro_daily_total_mean,era5_sro_daily_total_min,era5_sro_daily_total_max,era5_sro_daily_total_std,era5_t2m_daily_mean_mean,era5_t2m_daily_mean_min,era5_t2m_daily_mean_max,era5_t2m_daily_mean_std,era5_swvl1_daily_mean_mean,era5_swvl1_daily_mean_min,era5_swvl1_daily_mean_max,era5_swvl1_daily_mean_std,era5_swvl2_daily_mean_mean,era5_swvl2_daily_mean_min,era5_swvl2_daily_mean_max,era5_swvl2_daily_mean_std,glofas_discharge_mean,glofas_discharge_min,glofas_discharge_max,glofas_discharge_std,rainfall_total_3d,rainfall_total_7d,rainfall_total_14d,rainfall_total_30d,era5_tp_daily_total_mean_lag_1d,era5_tp_daily_total_min_lag_1d,era5_tp_daily_total_max_lag_1d,era5_tp_daily_total_std_lag_1d,era5_sro_daily_total_mean_lag_1d,era5_sro_daily_total_min_lag_1d,era5_sro_daily_total_max_lag_1d,era5_sro_daily_total_std_lag_1d,era5_t2m_daily_mean_mean_lag_1d,era5_t2m_daily_mean_min_lag_1d,era5_t2m_daily_mean_max_lag_1d,era5_t2m_daily_mean_std_lag_1d,era5_swvl1_daily_mean_mean_lag_1d,era5_swvl1_daily_mean_min_lag_1d,era5_swvl1_daily_mean_max_lag_1d,era5_swvl1_daily_mean_std_lag_1d,era5_swvl2_daily_mean_mean_lag_1d,era5_swvl2_daily_mean_min_lag_1d,era5_swvl2_daily_mean_max_lag_1d,era5_swvl2_daily_mean_std_lag_1d,glofas_discharge_mean_lag_1d,glofas_discharge_min_lag_1d,glofas_discharge_max_lag_1d,glofas_discharge_std_lag_1d,rainfall_total_3d_lag_1d,rainfall_total_7d_lag_1d,rainfall_total_14d_lag_1d,rainfall_total_30d_lag_1d,era5_tp_daily_total_mean_lag_2d,era5_tp_daily_total_min_lag_2d,era5_tp_daily_total_max_lag_2d,era5_tp_daily_total_std_lag_2d,era5_sro_daily_total_mean_lag_2d,era5_sro_daily_total_min_lag_2d,era5_sro_daily_total_max_lag_2d,era5_sro_daily_total_std_lag_2d,era5_t2m_daily_mean_mean_lag_2d,era5_t2m_daily_mean_min_lag_2d,era5_t2m_daily_mean_max_lag_2d,era5_t2m_daily_mean_std_lag_2d,era5_swvl1_daily_mean_mean_lag_2d,era5_swvl1_daily_mean_min_lag_2d,era5_swvl1_daily_mean_max_lag_2d,era5_swvl1_daily_mean_std_lag_2d,era5_swvl2_daily_mean_mean_lag_2d,era5_swvl2_daily_mean_min_lag_2d,era5_swvl2_daily_mean_max_lag_2d,era5_swvl2_daily_mean_std_lag_2d,glofas_discharge_mean_lag_2d,glofas_discharge_min_lag_2d,glofas_discharge_max_lag_2d,glofas_discharge_std_lag_2d,rainfall_total_3d_lag_2d,rainfall_total_7d_lag_2d,rainfall_total_14d_lag_2d,rainfall_total_30d_lag_2d,era5_tp_daily_total_mean_lag_3d,era5_tp_daily_total_min_lag_3d,era5_tp_daily_total_max_lag_3d,era5_tp_daily_total_std_lag_3d,era5_sro_daily_total_mean_lag_3d,era5_sro_daily_total_min_lag_3d,era5_sro_daily_total_max_lag_3d,era5_sro_daily_total_std_lag_3d,era5_t2m_daily_mean_mean_lag_3d,era5_t2m_daily_mean_min_lag_3d,era5_t2m_daily_mean_max_lag_3d,era5_t2m_daily_mean_std_lag_3d,era5_swvl1_daily_mean_mean_lag_3d,era5_swvl1_daily_mean_min_lag_3d,era5_swvl1_daily_mean_max_lag_3d,era5_swvl1_daily_mean_std_lag_3d,era5_swvl2_daily_mean_mean_lag_3d,era5_swvl2_daily_mean_min_lag_3d,era5_swvl2_daily_mean_max_lag_3d,era5_swvl2_daily_mean_std_lag_3d,glofas_discharge_mean_lag_3d,glofas_discharge_min_lag_3d,glofas_discharge_max_lag_3d,glofas_discharge_std_lag_3d,rainfall_total_3d_lag_3d,rainfall_total_7d_lag_3d,rainfall_total_14d_lag_3d,rainfall_total_30d_lag_3d,era5_tp_daily_total_mean_lag_7d,era5_tp_daily_total_min_lag_7d,era5_tp_daily_total_max_lag_7d,era5_tp_daily_total_std_lag_7d,era5_sro_daily_total_mean_lag_7d,era5_sro_daily_total_min_lag_7d,era5_sro_daily_total_max_lag_7d,era5_sro_daily_total_std_lag_7d,era5_t2m_daily_mean_mean_lag_7d,era5_t2m_daily_mean_min_lag_7d,era5_t2m_daily_mean_max_lag_7d,era5_t2m_daily_mean_std_lag_7d,era5_swvl1_daily_mean_mean_lag_7d,era5_swvl1_daily_mean_min_lag_7d,era5_swvl1_daily_mean_max_lag_7d,era5_swvl1_daily_mean_std_lag_7d,era5_swvl2_daily_mean_mean_lag_7d,era5_swvl2_daily_mean_min_lag_7d,era5_swvl2_daily_mean_max_lag_7d,era5_swvl2_daily_mean_std_lag_7d,glofas_discharge_mean_lag_7d,glofas_discharge_min_lag_7d,glofas_discharge_max_lag_7d,glofas_discharge_std_lag_7d,rainfall_total_3d_lag_7d,rainfall_total_7d_lag_7d,rainfall_total_14d_lag_7d,rainfall_total_30d_lag_7d,target_glofas_discharge_max_next_1d,label_discharge_next_1d_ge_q75,label_discharge_next_1d_ge_q90,label_discharge_next_1d_ge_q95
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.53943,286.96866,294.40674,1.3564005,0.07839748,0.00033641825,0.19375813,0.0605638,0.1535088,0.0019398774,0.22030015,0.043827593,65.71468,0.0,2103.625,359.00424,0.0,0.04317892901599407,0.3802657132036984,4.9114267225190815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0128,287.89,293.39474,0.9957984,0.07929173,0.00033723578,0.19529437,0.06007799,0.15357158,0.0019447507,0.22036414,0.043674078,65.18235,0.0,2085.9219,356.08832,0.029993057250976562,0.04317892901599407,0.3802657132036984,4.9114267225190815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.48132,285.45264,293.97632,1.918309,0.08119521,0.00035400363,0.19677974,0.06035405,0.15384343,0.0019498208,0.2200017,0.043789316,64.885765,0.0,2060.9219,354.3917,0.04317892901599407,0.04317892901599407,0.3802657132036984,5.779324709884804,0.029993057,0.0,0.59223175,0.07776149,7.781718e-08,0.0,1.4305115e-06,2.1097738e-07,291.63297,286.53482,294.4794,1.6387823,0.07807363,0.00031556268,0.1875301,0.060475927,0.15368232,0.0019456567,0.22066516,0.043454427,64.88534,0.0,2042.4688,354.15652,0.04317892901599407,0.04317892901599407,0.38028160777503217,6.338180481903237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.14798,286.25043,292.92416,1.0100633,0.07809691,0.00033309916,0.19002272,0.060710806,0.15403558,0.0019632166,0.22527367,0.043572985,68.84796,0.0,2251.8125,372.3218,0.0,0.3370867841877043,0.33732652730896007,6.632294975740933,2098.2812,0,0,0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.58902,287.9911,294.16946,1.1836009,0.07888835,0.0003943164,0.19724542,0.061230928,0.15339549,0.0019335657,0.22028814,0.043923605,66.222664,0.0,2098.2812,361.7661,0.0,0.04317892901599407,0.36158429319038987,4.9114267225190815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.53943,286.96866,294.40674,1.3564005,0.07839748,0.00033641825,0.19375813,0.0605638,0.1535088,0.0019398774,0.22030015,0.043827593,65.71468,0.0,2103.625,359.00424,0.0,0.04317892901599407,0.3802657132036984,4.9114267225190815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0128,287.89,293.39474,0.9957984,0.07929173,0.00033723578,0.19529437,0.06007799,0.15357158,0.0019447507,0.22036414,0.043674078,65.18235,0.0,2085.9219,356.08832,0.029993057250976562,0.04317892901599407,0.3802657132036984,4.9114267225190815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.48132,285.45264,293.97632,1.918309,0.08119521,0.00035400363,0.19677974,0.06035405,0.15384343,0.0019498208,0.2200017,0.043789316,64.885765,0.0,2060.9219,354.3917,0.04317892901599407,0.04317892901599407,0.3802657132036984,5.779324709884804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.70273,286.5126,293.49908,1.1448307,0.0768343,0.0003336527,0.1871044,0.060411803,0.15390724,0.0019602792,0.2240488,0.04348925,67.29006,0.0,2193.2031,364.54977,0.0,0.3184053641743958,0.33732652730896007,6.6320724517386225,2087.7344,0,0,0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.52167,288.2626,294.06802,1.0934817,0.07892993,0.00033968268,0.20012937,0.061493006,0.15331109,0.001927696,0.2209479,0.044027932,66.51795,0.0,2087.7344,363.36115,0.0,0.04317892901599407,0.15285942191258073,4.895851366668921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.58902,287.9911,294.16946,1.1836009,0.07888835,0.0003943164,0.19724542,0.061230928,0.15339549,0.0019335657,0.22028814,0.043923605,66.222664,0.0,2098.2812,361.7661,0.0,0.04317892901599407,0.36158429319038987,4.9114267225190815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.53943,286.96866,294.40674,1.3564005,0.07839748,0.00033641825,0.19375813,0.0605638,0.1535088,0.0019398774,0.22030015,0.043827593,65.71468,0.0,2103.625,359.00424,0.0,0.04317892901599407,0.3802657132036984,4.9114267225190815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0128,287.89,293.39474,0.9957984,0.07929173,0.00033723578,0.19529437,0.06007799,0.15357158,0.0019447507,0.22036414,0.043674078,65.18235,0.0,2085.9219,356.08832,0.029993057250976562,0.04317892901599407,0.3802657132036984,4.9114267225190815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.53088,286.21906,293.8521,1.3295768,0.07769244,0.00032024272,0.18869568,0.060587827,0.15377025,0.0019556098,0.22290222,0.04348932,66.05201,0.0,2129.3906,358.79526,0.0,0.10968049289658666,0.33732652730896007,6.6320724517386225,2078.75,0,0,0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.93106,288.19962,294.45956,1.1780938,0.079277396,0.0003592763,0.20452185,0.06175541,0.15322042,0.0019253725,0.22138429,0.04414108,66.50946,0.0,2078.75,363.29913,0.0,0.029993057250976562,0.04746119165793061,4.812065780609828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.52167,288.2626,294.06802,1.0934817,0.07892993,0.00033968268,0.20012937,0.061493006,0.15331109,0.001927696,0.2209479,0.044027932,66.51795,0.0,2087.7344,363.36115,0.0,0.04317892901599407,0.15285942191258073,4.895851366668921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.58902,287.9911,294.16946,1.1836009,0.07888835,0.0003943164,0.19724542,0.061230928,0.15339549,0.0019335657,0.22028814,0.043923605,66.222664,0.0,2098.2812,361.7661,0.0,0.04317892901599407,0.36158429319038987,4.9114267225190815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.53943,286.96866,294.40674,1.3564005,0.07839748,0.00033641825,0.19375813,0.0605638,0.1535088,0.0019398774,0.22030015,0.043827593,65.71468,0.0,2103.625,359.00424,0.0,0.04317892901599407,0.3802657132036984,4.9114267225190815,0.013185872,0.0,0.5598068,0.055628333,3.2981237e-07,0.0,3.2663345e-05,2.6598816e-06,290.9465,286.57022,293.78418,1.1655434,0.076854564,0.00030451673,0.18747197,0.060718697,0.15352696,0.0019523801,0.22127204,0.043349735,65.22134,0.0,2069.8125,355.3731,0.01318587176501751,0.01746813440695405,0.35051107452636643,6.642994671575707,2068.3125,0,0,0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.9542,288.8557,295.36206,1.3642806,0.08039151,0.0003575411,0.2129608,0.06258663,0.15341347,0.0019237022,0.22236423,0.044467155,66.09677,0.0,2068.3125,361.0632,0.0,0.0,0.04317892901599407,0.7816645507514295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.93106,288.19962,294.45956,1.1780938,0.079277396,0.0003592763,0.20452185,0.06175541,0.15322042,0.0019253725,0.22138429,0.04414108,66.50946,0.0,2078.75,363.29913,0.0,0.029993057250976562,0.04746119165793061,4.812065780609828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.52167,288.2626,294.06802,1.0934817,0.07892993,0.00033968268,0.20012937,0.061493006,0.15331109,0.001927696,0.2209479,0.044027932,66.51795,0.0,2087.7344,363.36115,0.0,0.04317892901599407,0.15285942191258073,4.895851366668921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.58902,287.9911,294.16946,1.1836009,0.07888835,0.0003943164,0.19724542,0.061230928,0.15339549,0.0019335657,0.22028814,0.043923605,66.222664,0.0,2098.2812,361.7661,0.0,0.04317892901599407,0.36158429319038987,4.9114267225190815,0.029993057,0.0,0.59223175,0.07776149,7.781718e-08,0.0,1.4305115e-06,2.1097738e-07,291.63297,286.53482,294.4794,1.6387823,0.07807363,0.00031556268,0.1875301,0.060475927,0.15368232,0.0019456567,0.22066516,0.043454427,64.88534,0.0,2042.4688,354.15652,0.04317892901599407,0.04317892901599407,0.38028160777503217,6.338180481903237,2053.8906,0,0,0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.28677,288.1465,296.4485,1.896293,0.08134587,0.00031991303,0.21928102,0.062951356,0.1536946,0.0019158794,0.22382762,0.044880204,65.240845,0.0,2053.8906,356.44632,0.0,0.0,0.04317892901599407,0.381064415425044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.9542,288.8557,295.36206,1.3642806,0.08039151,0.0003575411,0.2129608,0.06258663,0.15341347,0.0019237022,0.22236423,0.044467155,66.09677,0.0,2068.3125,361.0632,0.0,0.0,0.04317892901599407,0.7816645507514295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.93106,288.19962,294.45956,1.1780938,0.079277396,0.0003592763,0.20452185,0.06175541,0.15322042,0.0019253725,0.22138429,0.04414108,66.50946,0.0,2078.75,363.29913,0.0,0.029993057250976562,0.04746119165793061,4.812065780609828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.52167,288.2626,294.06802,1.0934817,0.07892993,0.00033968268,0.20012937,0.061493006,0.15331109,0.001927696,0.2209479,0.044027932,66.51795,0.0,2087.7344,363.36115,0.0,0.04317892901599407,0.15285942191258073,4.895851366668921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.48132,285.45264,293.97632,1.918309,0.08119521,0.00035400363,0.19677974,0.06035405,0.15384343,0.0019498208,0.2200017,0.043789316,64.885765,0.0,2060.9219,354.3917,0.04317892901599407,0.04317892901599407,0.3802657132036984,5.779324709884804,2039.2969,0,0,0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.44217,290.25192,298.00812,1.7539496,0.07878186,0.00035023037,0.210781,0.062208183,0.15332808,0.0019217391,0.22427851,0.044731323,64.007065,0.0,2039.2969,349.776,0.0,0.0,0.04317892901599407,0.38051075451539873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.28677,288.1465,296.4485,1.896293,0.08134587,0.00031991303,0.21928102,0.062951356,0.1536946,0.0019158794,0.22382762,0.044880204,65.240845,0.0,2053.8906,356.44632,0.0,0.0,0.04317892901599407,0.381064415425044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.9542,288.8557,295.36206,1.3642806,0.08039151,0.0003575411,0.2129608,0.06258663,0.15341347,0.0019237022,0.22236423,0.044467155,66.09677,0.0,2068.3125,361.0632,0.0,0.0,0.04317892901599407,0.7816645507514295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.93106,288.19962,294.45956,1.1780938,0.079277396,0.0003592763,0.20452185,0.06175541,0.15322042,0.0019253725,0.22138429,0.04414108,66.50946,0.0,2078.75,363.29913,0.0,0.029993057250976562,0.04746119165793061,4.812065780609828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0128,287.89,293.39474,0.9957984,0.07929173,0.00033723578,0.19529437,0.06007799,0.15357158,0.0019447507,0.22036414,0.043674078,65.18235,0.0,2085.9219,356.08832,0.029993057250976562,0.04317892901599407,0.3802657132036984,4.9114267225190815,2023.2812,0,0,0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.50156,289.11728,297.01932,1.6393418,0.07748723,0.00030665085,0.2003532,0.061896972,0.1530194,0.0019136664,0.22278464,0.044602625,62.605537,0.0,2023.2812,342.16174,0.0,0.0,0.04317892901599407,0.38050545632495414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.44217,290.25192,298.00812,1.7539496,0.07878186,0.00035023037,0.210781,0.062208183,0.15332808,0.0019217391,0.22427851,0.044731323,64.007065,0.0,2039.2969,349.776,0.0,0.0,0.04317892901599407,0.38051075451539873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.28677,288.1465,296.4485,1.896293,0.08134587,0.00031991303,0.21928102,0.062951356,0.1536946,0.0019158794,0.22382762,0.044880204,65.240845,0.0,2053.8906,356.44632,0.0,0.0,0.04317892901599407,0.381064415425044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.9542,288.8557,295.36206,1.3642806,0.08039151,0.0003575411,0.2129608,0.06258663,0.15341347,0.0019237022,0.22236423,0.044467155,66.09677,0.0,2068.3125,361.0632,0.0,0.0,0.04317892901599407,0.7816645507514295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.53943,286.96866,294.40674,1.3564005,0.07839748,0.00033641825,0.19375813,0.0605638,0.1535088,0.0019398774,0.22030015,0.043827593,65.71468,0.0,2103.625,359.00424,0.0,0.04317892901599407,0.3802657132036984,4.9114267225190815,1996.4062,0,0,0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.25974,291.24792,296.89294,1.1628157,0.07678418,0.00030055037,0.1937604,0.060947884,0.15239462,0.0019121818,0.22064818,0.04430289,61.205914,0.0,1996.4062,334.50552,0.0,0.0,0.04317892901599407,0.38050545632495414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.50156,289.11728,297.01932,1.6393418,0.07748723,0.00030665085,0.2003532,0.061896972,0.1530194,0.0019136664,0.22278464,0.044602625,62.605537,0.0,2023.2812,342.16174,0.0,0.0,0.04317892901599407,0.38050545632495414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.44217,290.25192,298.00812,1.7539496,0.07878186,0.00035023037,0.210781,0.062208183,0.15332808,0.0019217391,0.22427851,0.044731323,64.007065,0.0,2039.2969,349.776,0.0,0.0,0.04317892901599407,0.38051075451539873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.28677,288.1465,296.4485,1.896293,0.08134587,0.00031991303,0.21928102,0.062951356,0.1536946,0.0019158794,0.22382762,0.044880204,65.240845,0.0,2053.8906,356.44632,0.0,0.0,0.04317892901599407,0.381064415425044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.58902,287.9911,294.16946,1.1836009,0.07888835,0.0003943164,0.19724542,0.061230928,0.15339549,0.0019335657,0.22028814,0.043923605,66.222664,0.0,2098.2812,361.7661,0.0,0.04317892901599407,0.36158429319038987,4.9114267225190815,1956.9219,0,0,0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.21512,292.8356,297.42392,1.1732978,0.075964436,0.0003147706,0.19070888,0.06072545,0.15179656,0.0019072145,0.21901757,0.04413615,60.108917,0.0,1956.9219,328.4315,0.0,0.0,0.04317892901599407,0.38050545632495414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.25974,291.24792,296.89294,1.1628157,0.07678418,0.00030055037,0.1937604,0.060947884,0.15239462,0.0019121818,0.22064818,0.04430289,61.205914,0.0,1996.4062,334.50552,0.0,0.0,0.04317892901599407,0.38050545632495414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.50156,289.11728,297.01932,1.6393418,0.07748723,0.00030665085,0.2003532,0.061896972,0.1530194,0.0019136664,0.22278464,0.044602625,62.605537,0.0,2023.2812,342.16174,0.0,0.0,0.04317892901599407,0.38050545632495414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.44217,290.25192,298.00812,1.7539496,0.07878186,0.00035023037,0.210781,0.062208183,0.15332808,0.0019217391,0.22427851,0.044731323,64.007065,0.0,2039.2969,349.776,0.0,0.0,0.04317892901599407,0.38051075451539873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.52167,288.2626,294.06802,1.0934817,0.07892993,0.00033968268,0.20012937,0.061493006,0.15331109,0.001927696,0.2209479,0.044027932,66.51795,0.0,2087.7344,363.36115,0.0,0.04317892901599407,0.15285942191258073,4.895851366668921,1915.1875,0,0,0
